time,order_id,user_id,user_virtual,ticker,side,offset,price,quantity,status,error,duration
2022-05-12 14:18:28 556:000:526,29,0,0,ag2206.SHFE,BUY,CLOSE_TODAY,0,0,INIT,NONE,1652336308540938158
2022-05-12 14:18:28 556:466:458,29,0,0,ag2206.SHFE,BUY,CLOSE_TODAY,0,0,CANCELED,NONE,1652336308541404090
2022-05-12 14:18:28 556:535:790,30,0,0,ag2206.SHFE,BUY,CLOSE_TODAY,0,0,INIT,NONE,1652336308541473422
time,order_id,user_id,user_virtual,ticker,side,offset,price,quantity,status,error,duration
2022-05-12 14:22:22 742:513:330,1,0,0,ag2212.SHFE,SELL,OPEN,0,0,INIT,NONE,1652336542742513330
2022-05-12 14:22:22 747:974:298,1,0,0,ag2212.SHFE,SELL,OPEN,0,0,NO_TRADE_QUEUEING,NONE,1652336542747974298
2022-05-12 14:22:47 234:223:726,1,0,0,ag2212.SHFE,SELL,OPEN,0,0,NONE,NONE,1652336567234223726
2022-05-12 14:22:47 234:232:572,1,0,0,ag2212.SHFE,SELL,OPEN,4751,1,ALL_TRADED,NONE,1652336567234232572
2022-05-12 14:22:47 234:348:712,2,0,0,ag2206.SHFE,BUY,OPEN,0,0,INIT,NONE,1652336567193600328
2022-05-12 14:22:47 238:573:354,2,0,0,ag2206.SHFE,BUY,OPEN,0,0,CANCELED,NONE,1652336567197824970
2022-05-12 14:22:47 238:647:504,3,0,0,ag2206.SHFE,BUY,OPEN,0,0,INIT,NONE,1652336567197899120
2022-05-12 14:22:47 239:968:144,3,0,0,ag2206.SHFE,BUY,OPEN,0,0,NONE,NONE,1652336567199219760
2022-05-12 14:22:47 239:974:606,3,0,0,ag2206.SHFE,BUY,OPEN,4708,1,ALL_TRADED,NONE,1652336567199226222
2022-05-12 14:22:47 240:076:190,4,0,0,ag2212.SHFE,BUY,CLOSE_TODAY,0,0,INIT,NONE,1652336567240076188
2022-05-12 14:22:47 240:593:911,4,0,0,ag2212.SHFE,BUY,CLOSE_TODAY,0,0,NO_TRADE_QUEUEING,NONE,1652336567240593909
2022-05-12 14:22:50 739:253:978,4,0,0,ag2212.SHFE,BUY,CLOSE_TODAY,0,0,CANCELED,NONE,1652336570739253976
2022-05-12 14:22:50 739:320:924,5,0,0,ag2212.SHFE,BUY,CLOSE_TODAY,0,0,INIT,NONE,1652336570734736744
2022-05-12 14:22:50 744:996:291,5,0,0,ag2212.SHFE,BUY,CLOSE_TODAY,0,0,NO_TRADE_QUEUEING,NONE,1652336570740412111
2022-05-12 14:23:16 738:167:438,5,0,0,ag2212.SHFE,BUY,CLOSE_TODAY,0,0,CANCELED,NONE,1652336596733583258
2022-05-12 14:23:16 738:240:336,6,0,0,ag2212.SHFE,BUY,CLOSE_TODAY,0,0,INIT,NONE,1652336596733656156
2022-05-12 14:23:16 741:635:469,6,0,0,ag2212.SHFE,BUY,CLOSE_TODAY,0,0,NO_TRADE_QUEUEING,NONE,1652336596737051289
2022-05-12 14:23:18 734:424:315,6,0,0,ag2212.SHFE,BUY,CLOSE_TODAY,0,0,CANCELED,NONE,1652336598729840135
2022-05-12 14:23:18 734:491:024,7,0,0,ag2212.SHFE,BUY,CLOSE_TODAY,0,0,INIT,NONE,1652336598729906844
2022-05-12 14:23:18 737:621:027,7,0,0,ag2212.SHFE,BUY,CLOSE_TODAY,0,0,NO_TRADE_QUEUEING,NONE,1652336598733036847
2022-05-12 14:23:37 738:594:238,7,0,0,ag2212.SHFE,BUY,CLOSE_TODAY,0,0,CANCELED,NONE,1652336617734010058
2022-05-12 14:23:37 738:661:464,8,0,0,ag2212.SHFE,BUY,CLOSE_TODAY,0,0,INIT,NONE,1652336617734077284
2022-05-12 14:23:37 744:073:397,8,0,0,ag2212.SHFE,BUY,CLOSE_TODAY,0,0,NO_TRADE_QUEUEING,NONE,1652336617739489217
2022-05-12 14:23:55 747:995:538,8,0,0,ag2212.SHFE,BUY,CLOSE_TODAY,0,0,CANCELED,NONE,1652336635743411358
