time,order_id,user_id,user_virtual,ticker,side,offset,price,quantity,type,duration
2022-05-12 14:25:00 258:439:183,16,0,0,ag2212.SHFE,BUY,OPEN,4758,1,insert,1652336700258439179
2022-05-12 14:25:03 537:164:101,17,0,0,ag2206.SHFE,SELL,OPEN,4716,1,insert,1652336703496415717
2022-05-12 14:25:03 537:661:470,18,0,0,ag2206.SHFE,SELL,OPEN,4715,1,insert,1652336703496913086
2022-05-12 14:25:03 538:251:118,19,0,0,ag2212.SHFE,SELL,CLOSE_TODAY,4760,1,insert,1652336703538251112
2022-05-12 14:25:03 736:688:214,19,0,0,ag2212.SHFE,SELL,CLOSE_TODAY,4760,1,cancel,1652336703696011734
2022-05-12 14:25:03 738:837:290,20,0,0,ag2212.SHFE,SELL,CLOSE_TODAY,4759,1,insert,1652336703734253110
2022-05-12 14:25:05 744:145:880,21,0,0,ag2206.SHFE,BUY,CLOSE_TODAY,4716,1,insert,1652336705703397496
2022-05-12 14:25:05 750:482:274,22,0,0,ag2206.SHFE,BUY,CLOSE_TODAY,4717,1,insert,1652336705709733890
2022-05-12 14:25:06 244:511:695,23,0,0,ag2212.SHFE,SELL,OPEN,4761,1,insert,1652336706244511687
2022-05-12 14:32:46 557:604:565,24,0,0,ag2206.SHFE,BUY,OPEN,4717,1,insert,1652337166516856181
2022-05-12 14:32:46 558:127:350,25,0,0,ag2206.SHFE,BUY,OPEN,4718,1,insert,1652337166517378966
2022-05-12 14:32:46 558:711:267,26,0,0,ag2212.SHFE,BUY,CLOSE_TODAY,4759,1,insert,1652337166558711257
time,order_id,user_id,user_virtual,ticker,side,offset,price,quantity,type,duration
