序号,投资者账号,投资者,报单编号,本地报单编号,交易所,合约代码,合约名称,买卖,开平,报单价格,报单数量,报单状态,成交均价,成交数量,撤单数量,剩余数量,报单时间,撤单时间,成交时间,成交时间(日),手续费,平仓盈亏,平仓盈亏(逐笔),类型,时态,策略编号,备注,MEMO,策略名称,类别,下单用户,撤单用户,IP地址,MAC,委托终端,前置ID,会话ID,营业部
65,138411,？？？？？？？？′？？？,140347,000000014025,SHFE,ni2209,ni2209,买,开仓,164110,1,全部成交,164110.0,1,0,0,22:53:37,,22:53:38,20220701 22:53:38,1.00,--,--,投机,GFD,套利[C19],28:SHFE:报单已经全部成交,,ni09-08:Spread[C19],普通,138411,,,,InfiniV8_1,3,-290971658,
64,138411,？？？？？？？？′？？？,131736,000000012177,SHFE,ni2208,ni2208,买,平今,169870,1,全部成交,169870.0,1,0,0,22:48:10,,22:48:10,20220701 22:48:10,--,-860.00,-860.00,投机,GFD,套利[C18],,,ni09-08:Spread[C18],普通,138411,,,,InfiniV8_1,3,-290971658,
63,138411,？？？？？？？？′？？？,131734,000000012169,SHFE,ni2209,ni2209,    卖,平今,164970,1,全部成交,164970.0,1,0,0,22:48:10,,22:48:10,20220701 22:48:10,--,1020.00,1020.00,投机,GFD,套利[C18],,,ni09-08:Spread[C18],普通,138411,,,,InfiniV8_1,3,-290971658,
62,138411,？？？？？？？？′？？？,123873,000000011729,SHFE,ni2208,ni2208,    卖,开仓,168970,1,全部成交,168970.0,1,0,0,22:39:46,,22:39:46,20220701 22:39:46,1.00,--,--,投机,GFD,套利[C17],,,ni09-08:Spread[C17],普通,138411,,,,InfiniV8_1,3,-290971658,
61,138411,？？？？？？？？′？？？,123857,000000011713,SHFE,ni2209,ni2209,买,开仓,163970,1,全部成交,163960.0,1,0,0,22:39:44,,22:39:46,20220701 22:39:46,1.00,--,--,投机,GFD,套利[C17],CTP:报单已全成交或已撤销，不能再撤,,ni09-08:Spread[C17],普通,138411,,,,InfiniV8_1,3,-290971658,
60,138411,？？？？？？？？′？？？,123721,000000011417,SHFE,ni2208,ni2208,    卖,开仓,169010,1,全部成交,169010.0,1,0,0,22:39:29,,22:39:29,20220701 22:39:29,1.00,--,--,投机,GFD,套利[C17],,,ni09-08:Spread[C17],普通,138411,,,,InfiniV8_1,3,-290971658,
59,138411,？？？？？？？？′？？？,123719,000000011401,SHFE,ni2209,ni2209,买,开仓,164010,1,全部成交,163950.0,1,0,0,22:39:29,,22:39:29,20220701 22:39:29,1.00,--,--,投机,GFD,套利[C17],CTP:报单已全成交或已撤销，不能再撤,,ni09-08:Spread[C17],普通,138411,,,,InfiniV8_1,3,-290971658,
58,138411,？？？？？？？？′？？？,122743,000000010705,SHFE,ni2208,ni2208,买,平今,169000,1,全部成交,169000.0,1,0,0,22:37:52,,22:37:52,20220701 22:37:52,--,-240.00,-240.00,投机,GFD,套利[C16],,,ni09-08:Spread[C16],普通,138411,,,,InfiniV8_1,3,-290971658,
57,138411,？？？？？？？？′？？？,122736,000000010689,SHFE,ni2209,ni2209,    卖,平今,164070,1,全部成交,164080.0,1,0,0,22:37:52,,22:37:52,20220701 22:37:52,--,350.00,350.00,投机,GFD,套利[C16],CTP:报单已全成交或已撤销，不能再撤,,ni09-08:Spread[C16],普通,138411,,,,InfiniV8_1,3,-290971658,
56,138411,？？？？？？？？′？？？,122433,000000010297,SHFE,ni2208,ni2208,买,平今,168890,1,全部成交,168890.0,1,0,0,22:37:24,,22:37:24,20220701 22:37:24,--,-170.00,-170.00,投机,GFD,套利[C16],,,ni09-08:Spread[C16],普通,138411,,,,InfiniV8_1,3,-290971658,
55,138411,？？？？？？？？′？？？,122432,000000010289,SHFE,ni2209,ni2209,    卖,平今,164000,1,全部成交,164000.0,1,0,0,22:37:24,,22:37:24,20220701 22:37:24,--,280.00,280.00,投机,GFD,套利[C16],,,ni09-08:Spread[C16],普通,138411,,,,InfiniV8_1,3,-290971658,
54,138411,？？？？？？？？′？？？,120240,000000008825,SHFE,ni2208,ni2208,    卖,开仓,168760,1,全部成交,168760.0,1,0,0,22:34:35,,22:34:35,20220701 22:34:35,1.00,--,--,投机,GFD,套利[C15],,,ni09-08:Spread[C15],普通,138411,,,,InfiniV8_1,3,-290971658,
53,138411,？？？？？？？？′？？？,120229,000000008809,SHFE,ni2209,ni2209,买,开仓,163740,1,全部成交,163730.0,1,0,0,22:34:34,,22:34:35,20220701 22:34:35,1.00,--,--,投机,GFD,套利[C15],CTP:报单已全成交或已撤销，不能再撤,,ni09-08:Spread[C15],普通,138411,,,,InfiniV8_1,3,-290971658,
52,138411,？？？？？？？？′？？？,119553,000000008401,SHFE,ni2208,ni2208,    卖,开仓,168720,1,全部成交,168720.0,1,0,0,22:33:55,,22:33:55,20220701 22:33:55,1.00,--,--,投机,GFD,套利[C15],,,ni09-08:Spread[C15],普通,138411,,,,InfiniV8_1,3,-290971658,
51,138411,？？？？？？？？′？？？,119550,000000008393,SHFE,ni2209,ni2209,买,开仓,163720,1,全部成交,163720.0,1,0,0,22:33:55,,22:33:55,20220701 22:33:55,1.00,--,--,投机,GFD,套利[C15],,,ni09-08:Spread[C15],普通,138411,,,,InfiniV8_1,3,-290971658,
50,138411,？？？？？？？？′？？？,105490,000000006913,SHFE,ni2208,ni2208,买,平今,168970,1,全部成交,168970.0,1,0,0,22:19:54,,22:19:54,20220701 22:19:54,--,530.00,530.00,投机,GFD,套利[C13],,,ni09-08:Spread[C13],普通,138411,,,,InfiniV8_1,3,-290971658,
49,138411,？？？？？？？？′？？？,105489,000000006905,SHFE,ni2209,ni2209,    卖,平今,164190,1,全部成交,164190.0,1,0,0,22:19:54,,22:19:54,20220701 22:19:54,--,-410.00,-410.00,投机,GFD,套利[C13],,,ni09-08:Spread[C13],普通,138411,,,,InfiniV8_1,3,-290971658,
48,138411,？？？？？？？？′？？？,105296,000000006721,SHFE,ni2208,ni2208,买,平今,169180,1,全部成交,169180.0,1,0,0,22:19:46,,22:19:46,20220701 22:19:46,--,330.00,330.00,投机,GFD,套利[C13],,,ni09-08:Spread[C13],普通,138411,,,,InfiniV8_1,3,-290971658,
47,138411,？？？？？？？？′？？？,105293,000000006713,SHFE,ni2209,ni2209,    卖,平今,164380,1,全部成交,164380.0,1,0,0,22:19:46,,22:19:46,20220701 22:19:46,--,-220.00,-220.00,投机,GFD,套利[C13],,,ni09-08:Spread[C13],普通,138411,,,,InfiniV8_1,3,-290971658,
46,138411,？？？？？？？？′？？？,105272,000000006705,SHFE,ni2208,ni2208,买,平今,169180,1,全部成交,169180.0,1,0,0,22:19:45,,22:19:45,20220701 22:19:45,--,370.00,370.00,投机,GFD,套利[C13],,,ni09-08:Spread[C13],普通,138411,,,,InfiniV8_1,3,-290971658,
45,138411,？？？？？？？？′？？？,105270,000000006697,SHFE,ni2209,ni2209,    卖,平今,164380,1,全部成交,164380.0,1,0,0,22:19:45,,22:19:45,20220701 22:19:45,--,-240.00,-240.00,投机,GFD,套利[C13],,,ni09-08:Spread[C13],普通,138411,,,,InfiniV8_1,3,-290971658,
44,138411,？？？？？？？？′？？？,104948,000000006529,SHFE,ni2208,ni2208,买,平今,169180,1,全部成交,169180.0,1,0,0,22:19:26,,22:19:26,20220701 22:19:26,--,380.00,380.00,投机,GFD,套利[C13],,,ni09-08:Spread[C13],普通,138411,,,,InfiniV8_1,3,-290971658,
43,138411,？？？？？？？？′？？？,104947,000000006521,SHFE,ni2208,ni2208,买,平今,169180,1,全部成交,169180.0,1,0,0,22:19:26,,22:19:26,20220701 22:19:26,--,1100.00,1100.00,投机,GFD,套利[C10],,,ni09-08:Spread[C10],普通,138411,,,,InfiniV8_1,3,-290971658,
42,138411,？？？？？？？？′？？？,104946,000000006513,SHFE,ni2209,ni2209,    卖,平今,164380,1,全部成交,164380.0,1,0,0,22:19:26,,22:19:26,20220701 22:19:26,--,-270.00,-270.00,投机,GFD,套利[C13],,,ni09-08:Spread[C13],普通,138411,,,,InfiniV8_1,3,-290971658,
41,138411,？？？？？？？？′？？？,104945,000000006505,SHFE,ni2209,ni2209,    卖,平今,164380,1,全部成交,164380.0,1,0,0,22:19:26,,22:19:26,20220701 22:19:26,--,-1050.00,-1050.00,投机,GFD,套利[C10],,,ni09-08:Spread[C10],普通,138411,,,,InfiniV8_1,3,-290971658,
40,138411,？？？？？？？？′？？？,88516,000000005297,SHFE,ni2208,ni2208,    卖,开仓,169500,1,全部成交,169500.0,1,0,0,22:01:44,,22:01:44,20220701 22:01:44,1.00,--,--,投机,GFD,套利[C11],,,ni09-08:Spread[C11],普通,138411,,,,InfiniV8_1,3,-290971658,
39,138411,？？？？？？？？′？？？,88515,000000005289,SHFE,ni2209,ni2209,买,开仓,164600,1,全部成交,164600.0,1,0,0,22:01:44,,22:01:44,20220701 22:01:44,1.00,--,--,投机,GFD,套利[C11],,,ni09-08:Spread[C11],普通,138411,,,,InfiniV8_1,3,-290971658,
38,138411,？？？？？？？？′？？？,88510,000000005281,SHFE,ni2208,ni2208,    卖,开仓,169510,1,全部成交,169510.0,1,0,0,22:01:44,,22:01:44,20220701 22:01:44,1.00,--,--,投机,GFD,套利[C11],,,ni09-08:Spread[C11],普通,138411,,,,InfiniV8_1,3,-290971658,
37,138411,？？？？？？？？′？？？,88503,000000005265,SHFE,ni2209,ni2209,买,开仓,164610,1,全部成交,164600.0,1,0,0,22:01:44,,22:01:44,20220701 22:01:44,1.00,--,--,投机,GFD,套利[C11],28:SHFE:报单已经全部成交,,ni09-08:Spread[C11],普通,138411,,,,InfiniV8_1,3,-290971658,
36,138411,？？？？？？？？′？？？,88489,000000005257,SHFE,ni2208,ni2208,    卖,开仓,169550,1,全部成交,169550.0,1,0,0,22:01:43,,22:01:43,20220701 22:01:43,1.00,--,--,投机,GFD,套利[C11],,,ni09-08:Spread[C11],普通,138411,,,,InfiniV8_1,3,-290971658,
35,138411,？？？？？？？？′？？？,88409,000000005241,SHFE,ni2209,ni2209,买,开仓,164630,1,全部成交,164620.0,1,0,0,22:01:40,,22:01:43,20220701 22:01:43,1.00,--,--,投机,GFD,套利[C11],CTP:报单已全成交或已撤销，不能再撤,,ni09-08:Spread[C11],普通,138411,,,,InfiniV8_1,3,-290971658,
34,138411,？？？？？？？？′？？？,88355,000000005201,SHFE,ni2208,ni2208,    卖,开仓,169560,1,全部成交,169560.0,1,0,0,22:01:38,,22:01:38,20220701 22:01:38,1.00,--,--,投机,GFD,套利[C11],,,ni09-08:Spread[C11],普通,138411,,,,InfiniV8_1,3,-290971658,
33,138411,？？？？？？？？′？？？,88331,000000005185,SHFE,ni2209,ni2209,买,开仓,164660,1,全部成交,164650.0,1,0,0,22:01:36,,22:01:38,20220701 22:01:38,1.00,--,--,投机,GFD,套利[C11],CTP:报单已全成交或已撤销，不能再撤,,ni09-08:Spread[C11],普通,138411,,,,InfiniV8_1,3,-290971658,
32,138411,？？？？？？？？′？？？,86026,000000004809,SHFE,ni2208,ni2208,买,平今,169610,1,全部成交,169610.0,1,0,0,21:59:59,,21:59:59,20220701 21:59:59,--,670.00,670.00,投机,GFD,套利[C10],,,ni09-08:Spread[C10],普通,138411,,,,InfiniV8_1,3,-290971658,
31,138411,？？？？？？？？′？？？,86020,000000004801,SHFE,ni2209,ni2209,    卖,平今,164840,1,全部成交,164840.0,1,0,0,21:59:59,,21:59:59,20220701 21:59:59,--,-590.00,-590.00,投机,GFD,套利[C10],,,ni09-08:Spread[C10],普通,138411,,,,InfiniV8_1,3,-290971658,
30,138411,？？？？？？？？′？？？,67816,000000003641,SHFE,ni2208,ni2208,    卖,开仓,170280,1,全部成交,170280.0,1,0,0,21:46:23,,21:46:23,20220701 21:46:23,1.00,--,--,投机,GFD,套利[C9],,,ni09-08:Spread[C9],普通,138411,,,,InfiniV8_1,3,-290971658,
29,138411,？？？？？？？？′？？？,67815,000000003633,SHFE,ni2209,ni2209,买,开仓,165430,1,全部成交,165430.0,1,0,0,21:46:23,,21:46:23,20220701 21:46:23,1.00,--,--,投机,GFD,套利[C9],,,ni09-08:Spread[C9],普通,138411,,,,InfiniV8_1,3,-290971658,
28,138411,？？？？？？？？′？？？,67768,000000003609,SHFE,ni2208,ni2208,    卖,开仓,170280,1,全部成交,170280.0,1,0,0,21:46:20,,21:46:20,20220701 21:46:20,1.00,--,--,投机,GFD,套利[C9],,,ni09-08:Spread[C9],普通,138411,,,,InfiniV8_1,3,-290971658,
27,138411,？？？？？？？？′？？？,67765,000000003601,SHFE,ni2209,ni2209,买,开仓,165430,1,全部成交,165430.0,1,0,0,21:46:20,,21:46:20,20220701 21:46:20,1.00,--,--,投机,GFD,套利[C9],,,ni09-08:Spread[C9],普通,138411,,,,InfiniV8_1,3,-290971658,
26,138411,？？？？？？？？′？？？,58978,000000003129,SHFE,ni2208,ni2208,买,平今,170890,1,全部成交,170890.0,1,0,0,21:40:01,,21:40:01,20220701 21:40:01,--,-1650.00,-1650.00,投机,GFD,套利[C7],,,ni09-08:Spread[C7],普通,138411,,,,InfiniV8_1,3,-290971658,
25,138411,？？？？？？？？′？？？,58977,000000003121,SHFE,ni2209,ni2209,    卖,平今,166190,1,全部成交,166190.0,1,0,0,21:40:01,,21:40:01,20220701 21:40:01,--,1670.00,1670.00,投机,GFD,套利[C7],,,ni09-08:Spread[C7],普通,138411,,,,InfiniV8_1,3,-290971658,
24,138411,？？？？？？？？′？？？,58940,000000003089,SHFE,ni2208,ni2208,买,平今,170950,1,全部成交,170950.0,1,0,0,21:40:00,,21:40:00,20220701 21:40:00,--,-1690.00,-1690.00,投机,GFD,套利[C7],CTP:报单已全成交或已撤销，不能再撤,,ni09-08:Spread[C7],普通,138411,,,,InfiniV8_1,3,-290971658,
23,138411,？？？？？？？？′？？？,58911,000000003065,SHFE,ni2209,ni2209,    卖,平今,166190,1,全部成交,166190.0,1,0,0,21:40:00,,21:40:00,20220701 21:40:00,--,1630.00,1630.00,投机,GFD,套利[C7],,,ni09-08:Spread[C7],普通,138411,,,,InfiniV8_1,3,-290971658,
