交割月份,前结算,今开盘,最高价,最低价,收盘价,结算参考价,涨跌1,涨跌2,成交手,成交额,持仓手/变化,,
2206,17880,17505,17680,17395, , , , ,1211,10613.71,3675,296,
2207,17820,17440,17495,17320, , , , ,671,5840.64,2739,15,
2208,17435, , , , , , , ,0,0,858,0,
2209,17525,17240,17335,17120, , , , ,62,533.76,3336,41,
2210,17525,17190,17200,17100, , , , ,25,214.74,250,9,
2211,17310,16995,17195,16995, , , , ,4,34.11,210,2,
2212,17250,16930,17110,16930, , , , ,10,85.26,190,0,
2301,17175,16830,17035,16830, , , , ,5,42.36,57,-1,
2302,16850,16895,16990,16690, , , , ,27,227.33,12,0,
小计, , , , , , , , ,105944,938552.23,98603 / -2376,,
交割月份,前结算,今开盘,最高价,最低价,收盘价,结算参考价,涨跌1,涨跌2,TAS成交手,成交手,成交额,持仓手/变化,
商品名称:原油,,,,,,,,,,,,,
2203,609.2,590.5,610,584.2, , , , , ,27,1621.42,1730,-11
2204,621.8,599.6,619.9,586.2, , , , ,0,235333,14057911.72,38281,-3990
2205,609.9,585.9,610,574.8, , , , , ,48423,2856647.03,22761,-18
2206,598.3,575.3,605.5,566.8, , , , , ,7696,448076.58,7336,227
2207,591.7,566.5,594.4,559.8, , , , , ,2131,121648.59,3488,91
2208,585.7,562,586,555, , , , , ,170,9573.18,280,-9
2209,571.2,552.9,581.4,546.9, , , , , ,291,16552.49,168,14
2210,565.4,543.9,543.9,543.9, , , , , ,1,54.39,9,-1
2211,556.2, , , , , , , , ,0,0,0,0
2212,561.9,540.7,564,540, , , , , ,6,328.78,471,0
2301,542.5, , , , , , , , ,0,0,0,0
2302,549.2, , , , , , , , ,0,0,0,0
2303,550,545,545,545, , , , , ,1,54.5,126,0
2306,539.6, , , , , , , , ,0,0,17,0
2309,530.6, , , , , , , , ,0,0,4,0
2312,517.2, , , , , , , , ,0,0,25,0
2403,518.8, , , , , , , , ,0,0,12,0
2406,506.4, , , , , , , , ,0,0,16,0
2409,506.9,546.9,546.9,546.9, , , , , ,1,54.69,18,1
2412,494, , , , , , , , ,0,0,390,0
小计, , , , , , , , ,0,294080,17512523.37,75132 / -3696,
交割月份,前结算,今开盘,最高价,最低价,收盘价,结算参考价,涨跌1,涨跌2,成交手,成交额,持仓手/变化,,
商品名称:低硫燃料油,,,,,,,,,,,,,
